,fullVisitorId,totals.transactionRevenue,totals.hits,totals.pageviews,visitNumber,visitStartTime,totals.bounces,totals.newVisits,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem,geoNetwork.city,geoNetwork.continent,geoNetwork.country,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.region,geoNetwork.subContinent,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.isTrueDirect
1020,6.712520540378437e+18,33670000.0,38.0,31.0,1.0,1472853233.0,0.0,1.0,4,35,0,3,540,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,1
1022,3.152246617474456e+18,635500000.0,38.0,28.0,2.0,1472828860.0,0.0,0.0,6,35,0,20,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,6,0,358,1,0
1026,1.8814589074019643e+18,103240000.0,41.0,26.0,1.0,1472849525.0,0.0,1.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
1027,1.095886019324498e+18,305470000.0,41.0,34.0,2.0,1472835680.0,0.0,0.0,6,35,0,20,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
1037,8.585031285178547e+18,5150000.0,47.0,35.0,2.0,1472858772.0,0.0,0.0,6,35,0,6,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
1041,3.741689406060673e+18,90850000.0,50.0,36.0,2.0,1472858035.0,0.0,0.0,6,35,0,3,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
1054,4.293841073200013e+18,10590000.0,67.0,52.0,1.0,1472855651.0,0.0,1.0,6,35,0,7,182,2,218,19,30158,187,12,62,3,59008,11,3,4,3327,6,0,358,1,1
1055,6.431326684634423e+17,25680000.0,67.0,44.0,1.0,1472867400.0,0.0,1.0,4,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,1
1056,1.710046532262949e+18,338970000.0,72.0,50.0,2.0,1472835694.0,0.0,0.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
2774,7.168226225550508e+18,593910000.0,42.0,33.0,3.0,1485452166.0,0.0,0.0,3,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,4,3196,171,1,1
3161,2.9235833800854984e+18,44790000.0,8.0,8.0,7.0,1485467793.0,0.0,0.0,6,35,0,3,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3268,6.27222046772438e+16,30390000.0,12.0,10.0,3.0,1485456962.0,0.0,0.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3279,4.3574140111615206e+18,10990000.0,12.0,10.0,1.0,1485484006.0,0.0,1.0,4,72,1,23,861,2,218,88,0,304,12,62,3,59008,11,3,4,11,5,3196,208,1,1
3287,4.290831302541967e+18,24990000.0,13.0,11.0,1.0,1485456771.0,0.0,1.0,2,43,0,7,762,2,218,100,38725,73,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
3317,4.395471984561333e+18,16970000.0,15.0,14.0,1.0,1485477841.0,0.0,1.0,2,73,1,23,955,2,218,122,7653,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
3339,5.843958474903501e+18,8980000.0,18.0,9.0,2.0,1485478912.0,0.0,0.0,2,72,1,23,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
3353,8.94651455498667e+18,30720000.0,20.0,16.0,5.0,1485446384.0,0.0,0.0,6,35,0,7,38,2,218,30,0,255,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3355,4.633257735643528e+17,44790000.0,20.0,16.0,3.0,1485471506.0,0.0,0.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
3362,2.0581882634571043e+17,11960000.0,22.0,17.0,6.0,1485483505.0,0.0,0.0,4,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
3364,6.388824250276634e+18,57570000.0,23.0,17.0,4.0,1485474460.0,0.0,0.0,4,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,0
3376,3.9458944434194135e+18,22970000.0,25.0,23.0,2.0,1485470612.0,0.0,0.0,4,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
3381,6.619473687558405e+17,236790000.0,29.0,21.0,4.0,1485458220.0,0.0,0.0,4,35,0,20,182,2,218,19,0,187,12,62,3,59008,11,3,4,11,5,3196,208,1,0
3391,7.002254018552868e+17,179160000.0,34.0,28.0,1.0,1485443740.0,0.0,1.0,6,35,0,7,38,2,218,30,0,255,12,62,3,59008,11,3,4,3327,6,0,358,1,1
3393,4.305270415377534e+18,80760000.0,35.0,26.0,6.0,1485499587.0,0.0,0.0,6,35,0,7,540,2,218,100,7652,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3394,1.627208831212926e+18,30390000.0,36.0,29.0,1.0,1485477973.0,0.0,1.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
3396,6.08915197735218e+17,259370000.0,37.0,31.0,6.0,1485467658.0,0.0,0.0,6,35,0,3,955,2,218,122,8255,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3397,2.402527199731151e+18,106260000.0,37.0,31.0,9.0,1485453756.0,0.0,0.0,2,35,0,3,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
3398,3.9720314382045384e+18,38350000.0,37.0,27.0,1.0,1485457608.0,0.0,1.0,6,35,0,6,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
3403,2.5539570871292355e+18,53560000.0,42.0,35.0,2.0,1485445175.0,0.0,0.0,6,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3405,4.633257735643528e+17,191170000.0,43.0,33.0,4.0,1485475748.0,0.0,0.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3406,4.985703629807811e+18,31980000.0,46.0,37.0,1.0,1485474927.0,0.0,1.0,4,35,0,7,579,2,218,75,30158,280,12,62,3,59008,11,3,4,11,5,3196,208,1,1
3409,7.488710348710523e+18,64700000.0,57.0,43.0,3.0,1485480993.0,0.0,0.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
3410,4.0600120809189184e+17,96770000.0,57.0,45.0,1.0,1485469662.0,0.0,1.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
3412,1.7597793566789514e+18,264790000.0,63.0,48.0,17.0,1485467514.0,0.0,0.0,2,35,0,20,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
3416,7.914629518787881e+17,105120000.0,91.0,69.0,1.0,1485465620.0,0.0,1.0,6,35,0,7,751,2,218,100,7653,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
3418,7.638336411447333e+18,1077000000.0,161.0,112.0,7.0,1485447665.0,0.0,0.0,6,35,0,7,579,2,218,75,38725,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6584,7.508453347219493e+17,298760000.0,10.0,10.0,1.0,1498226004.0,0.0,1.0,6,35,0,7,911,2,218,116,0,118,12,62,3,59008,11,3,4,3327,6,0,358,1,1
6610,7.265361594035997e+18,27180000.0,11.0,11.0,7.0,1498230705.0,0.0,0.0,6,35,0,3,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6637,9.873908218925155e+17,25000000.0,12.0,11.0,2.0,1498241858.0,0.0,0.0,4,35,0,7,779,2,218,101,33894,467,12,62,3,59008,11,3,4,11,5,3196,208,1,0
6648,9.873908218925155e+17,25000000.0,13.0,11.0,3.0,1498251943.0,0.0,0.0,4,35,0,7,779,2,218,101,33894,467,12,62,3,59008,11,3,4,11,5,3196,208,1,0
6656,3.654857757910532e+18,95970000.0,14.0,13.0,1.0,1498265066.0,0.0,1.0,6,35,0,7,779,2,218,101,0,467,12,62,3,59008,11,3,4,3327,6,0,358,1,1
6663,1.1594006533230811e+17,109150000.0,15.0,13.0,3.0,1498241851.0,0.0,0.0,6,35,0,7,762,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6671,4.064008221273566e+18,13590000.0,15.0,14.0,3.0,1498245824.0,0.0,0.0,6,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6695,7.296525750469429e+16,16790000.0,18.0,14.0,10.0,1498238118.0,0.0,0.0,6,35,0,6,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,1
6699,3.8499084505586214e+17,6990000.0,18.0,16.0,11.0,1498271478.0,0.0,0.0,4,72,1,23,955,2,218,122,34713,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
6713,2.0998644073700221e+18,113520000.0,21.0,15.0,1.0,1498252156.0,0.0,1.0,2,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
6716,3.412601168298155e+18,7480000.0,22.0,16.0,1.0,1498263251.0,0.0,1.0,5,35,0,20,748,2,218,99,0,73,12,76,1,41386,0,2,7,2374,3,3196,208,0,1
6722,2.665204442613687e+18,13290000.0,23.0,20.0,2.0,1498232978.0,0.0,0.0,4,72,1,23,110,2,218,10,33863,246,12,62,3,59008,11,3,4,11,5,3196,208,1,0
6730,3.508419666243875e+18,300350000.0,24.0,18.0,4.0,1498242081.0,0.0,0.0,6,35,0,7,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6741,6.416811485882521e+18,33980000.0,27.0,12.0,2.0,1498240051.0,0.0,0.0,3,35,0,7,463,2,218,61,0,73,12,62,3,59008,11,3,4,3327,4,3196,208,1,0
6742,1.216639212736323e+18,79990000.0,28.0,24.0,1.0,1498235295.0,0.0,1.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
6745,4.692146566453743e+18,74590000.0,30.0,23.0,1.0,1498243020.0,0.0,1.0,4,35,0,7,401,2,218,101,0,467,12,62,3,59008,11,3,4,11,5,3196,208,1,1
6748,9.429712068285188e+18,57580000.0,31.0,24.0,2.0,1498283637.0,0.0,0.0,6,35,0,7,401,2,218,101,7652,467,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6755,4.064008221273566e+18,33580000.0,33.0,29.0,4.0,1498248663.0,0.0,0.0,6,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6757,4.127513140005445e+18,13590000.0,34.0,28.0,4.0,1498218912.0,0.0,0.0,6,35,0,7,955,2,218,122,39450,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6761,3.56082027651806e+18,9980000.0,35.0,28.0,1.0,1498211423.0,0.0,1.0,2,35,1,1,955,2,218,122,7652,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
6767,2.658678838785413e+18,31490000.0,39.0,28.0,1.0,1498272983.0,0.0,1.0,6,35,0,7,955,2,218,122,7652,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
6770,7.366648314975512e+18,21020000.0,40.0,35.0,1.0,1498253514.0,0.0,1.0,6,35,0,6,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
6771,5.61378413385307e+18,335310000.0,41.0,29.0,4.0,1498246944.0,0.0,0.0,6,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6775,5.820498420449603e+18,10990000.0,50.0,40.0,2.0,1498260264.0,0.0,0.0,4,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
6777,9.492321535184724e+18,111160000.0,55.0,41.0,4.0,1498240539.0,0.0,0.0,6,35,0,6,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
6782,3.3158501092431263e+18,173880000.0,86.0,59.0,1.0,1498225533.0,0.0,1.0,6,35,0,3,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,1
8185,8.769206328217002e+18,16990000.0,17.0,13.0,2.0,1489338979.0,0.0,0.0,4,35,0,20,955,2,218,122,3194,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
8188,1.2531030777658327e+18,19990000.0,18.0,18.0,2.0,1489356106.0,0.0,0.0,2,42,0,20,955,2,163,122,21181,482,2,62,3,59008,11,3,4,3327,0,3196,0,1,0
8192,6.646839192394364e+17,7990000.0,20.0,18.0,1.0,1489365686.0,0.0,1.0,4,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,1
8196,6.421960756925082e+18,42970000.0,21.0,16.0,2.0,1489350226.0,0.0,0.0,4,72,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,1
8210,7.545575276027341e+18,1990000.0,24.0,23.0,1.0,1489367317.0,0.0,1.0,2,43,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
8223,8.146644046556936e+18,15190000.0,30.0,26.0,2.0,1489377952.0,0.0,0.0,6,35,0,7,751,2,218,100,38725,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
8224,1.9772561176563725e+18,31930000.0,31.0,24.0,1.0,1489371345.0,0.0,1.0,4,72,1,23,749,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,1
8229,7.642746072928772e+17,244040000.0,33.0,27.0,1.0,1489347786.0,0.0,1.0,6,35,0,7,955,2,218,122,7652,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
8231,8.611515155255472e+18,17590000.0,33.0,31.0,2.0,1489365472.0,0.0,0.0,6,35,0,7,955,2,218,122,7652,482,12,62,3,59008,11,3,4,3327,6,0,358,1,1
8245,3.980601042365878e+18,139650000.0,44.0,37.0,1.0,1489357807.0,0.0,1.0,6,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,6,0,358,1,1
8252,4.1344984268195707e+18,37960000.0,69.0,60.0,6.0,1489358954.0,0.0,0.0,4,35,0,20,955,2,218,122,35597,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
10312,4.66431910797074e+18,16990000.0,11.0,11.0,5.0,1486137202.0,0.0,0.0,2,35,0,7,955,2,218,122,5569,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
10323,4.0331671389910497e+18,18990000.0,12.0,10.0,1.0,1486147243.0,0.0,1.0,2,35,1,1,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
10350,3.831723766212483e+18,59990000.0,13.0,13.0,3.0,1486163738.0,0.0,0.0,6,35,0,7,540,2,218,100,13624,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
10384,3.7985768540409533e+18,179970000.0,16.0,16.0,6.0,1486150295.0,0.0,0.0,4,35,0,7,540,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,0
10396,1.0293231500112282e+18,86130000.0,18.0,14.0,2.0,1486152691.0,0.0,0.0,6,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10412,1.2717399366495875e+18,239960000.0,20.0,19.0,4.0,1486155144.0,0.0,0.0,6,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10413,6.8975230820068e+17,16990000.0,20.0,17.0,1.0,1486182517.0,0.0,1.0,4,72,0,7,955,2,218,122,8255,482,12,62,3,59008,11,3,4,11,5,3196,208,1,1
10415,9.562948220302754e+18,55990000.0,20.0,20.0,2.0,1486137202.0,0.0,0.0,4,35,0,3,751,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,0
10439,4.262513756531099e+18,3980000.0,25.0,20.0,2.0,1486156183.0,0.0,0.0,6,35,0,7,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10441,8.708692061686223e+18,18990000.0,26.0,24.0,1.0,1486151676.0,0.0,1.0,4,35,0,20,955,2,218,122,27268,482,12,62,3,59008,11,3,4,11,5,3196,208,1,1
10445,9.228091811246318e+18,305490000.0,26.0,25.0,2.0,1486155118.0,0.0,0.0,2,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
10449,8.092136662808852e+18,536820000.0,27.0,22.0,3.0,1486139748.0,0.0,0.0,2,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
10450,2.8401554644340516e+18,28780000.0,27.0,20.0,10.0,1486141246.0,0.0,0.0,6,35,0,20,540,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10455,9.013296840842676e+18,66980000.0,28.0,22.0,3.0,1486193195.0,0.0,0.0,4,35,1,23,955,2,218,122,31811,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
10460,4.995924842281653e+18,127970000.0,30.0,24.0,3.0,1486131356.0,0.0,0.0,6,35,0,7,579,2,218,75,27268,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10461,9.393064695401245e+18,24990000.0,30.0,27.0,1.0,1486175439.0,0.0,1.0,4,35,0,20,748,2,218,99,31119,73,12,62,3,59008,11,3,4,11,5,3196,208,1,1
10463,6.954387213546558e+18,19190000.0,31.0,26.0,2.0,1486153141.0,0.0,0.0,2,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
10473,3.0878001676414433e+18,54320000.0,39.0,32.0,1.0,1486160821.0,0.0,1.0,6,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,6,0,358,1,1
10474,9.142150653277074e+17,13970000.0,40.0,30.0,5.0,1486163826.0,0.0,0.0,4,42,0,20,373,2,218,61,8255,73,12,62,3,59008,11,3,4,11,5,3196,208,1,0
10482,1.7531883428387552e+17,464800000.0,48.0,36.0,5.0,1486157107.0,0.0,0.0,6,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10483,3.346100016851965e+18,27110000.0,51.0,43.0,1.0,1486148158.0,0.0,1.0,6,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,1
10484,3.746316960999614e+18,397700000.0,53.0,41.0,1.0,1486165316.0,0.0,1.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
10485,1.8141664602293028e+18,1171470000.0,54.0,40.0,8.0,1486135601.0,0.0,0.0,2,35,0,3,955,2,218,122,11367,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
10489,5.828638042083406e+18,65950000.0,61.0,48.0,5.0,1486163196.0,0.0,0.0,4,35,1,1,1,2,218,0,0,0,12,62,3,59008,11,3,4,11,5,3196,208,1,0
10491,8.287144117447583e+18,109450000.0,61.0,44.0,2.0,1486150779.0,0.0,0.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10492,2.871476528288578e+16,84310000.0,62.0,42.0,5.0,1486185884.0,0.0,0.0,6,35,0,7,540,2,218,100,7652,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10494,7.365317501077088e+18,81560000.0,76.0,59.0,1.0,1486147875.0,0.0,1.0,4,35,0,3,749,2,218,100,0,73,12,62,3,59008,11,3,4,11,5,3196,208,1,1
10495,1.7357335748649428e+18,108720000.0,77.0,58.0,2.0,1486161876.0,0.0,0.0,6,35,0,3,955,2,218,122,0,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
10497,8.88082203838422e+16,196420000.0,229.0,165.0,1.0,1486121492.0,0.0,1.0,4,35,0,20,955,3,201,122,15868,482,6,62,3,59008,11,3,4,11,5,3196,208,1,1
11130,7.1955053181396e+18,136810000.0,11.0,11.0,3.0,1470959601.0,0.0,0.0,6,35,0,7,955,2,218,122,39450,482,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11172,1.2929186957455314e+18,24970000.0,12.0,10.0,10.0,1470928235.0,0.0,0.0,2,35,0,20,738,2,218,93,7653,461,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
11248,1.1449120804506189e+18,1188550000.0,16.0,12.0,3.0,1470954680.0,0.0,0.0,6,35,0,7,746,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11287,6.180179196714829e+18,769290000.0,18.0,16.0,2.0,1470939757.0,0.0,0.0,6,35,0,7,182,2,218,19,0,187,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11297,3.4842607234278943e+18,42600000.0,19.0,15.0,2.0,1470955236.0,0.0,0.0,4,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
11299,4.4473764183181655e+18,35280000.0,19.0,16.0,1.0,1470946746.0,0.0,1.0,6,35,0,3,38,2,218,30,0,255,12,62,3,59008,11,3,4,3327,6,0,358,1,1
11307,3.759626877660315e+17,23490000.0,19.0,14.0,6.0,1470980004.0,0.0,0.0,4,35,0,20,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
11314,4.345770444854847e+18,211580000.0,20.0,17.0,1.0,1470959249.0,0.0,1.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
11324,7.016018380055914e+17,115930000.0,21.0,19.0,3.0,1470946579.0,0.0,0.0,6,35,0,20,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11339,8.653846523706419e+18,51530000.0,22.0,17.0,4.0,1470950405.0,0.0,0.0,2,35,0,7,829,2,218,100,0,73,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
11345,8.843025310060521e+18,187070000.0,23.0,22.0,12.0,1470952075.0,0.0,0.0,6,35,0,6,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11349,4.1350728339180227e+18,332260000.0,24.0,20.0,1.0,1470941786.0,0.0,1.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,1
11356,8.518736572243003e+18,154040000.0,25.0,19.0,8.0,1470952051.0,0.0,0.0,6,35,0,7,148,2,218,10,0,246,12,62,3,59008,11,3,4,3327,6,190,352,1,0
11362,2.393197369360098e+18,94490000.0,26.0,21.0,2.0,1470941484.0,0.0,0.0,6,35,0,7,953,4,198,0,0,481,22,62,3,59008,11,3,4,3327,6,0,358,1,0
11368,6.101482146991215e+18,10370000.0,27.0,20.0,2.0,1470947658.0,0.0,0.0,2,43,0,20,955,2,218,122,12713,482,12,62,3,59008,11,3,4,3327,0,3196,0,1,0
11379,7.29134671803189e+18,31300000.0,28.0,22.0,4.0,1470940014.0,0.0,0.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11383,7.514907909032668e+18,76020000.0,30.0,24.0,2.0,1470958214.0,0.0,0.0,4,35,0,7,955,2,218,122,0,482,12,62,3,59008,11,3,4,11,5,3196,208,1,0
11387,1.750514406451147e+18,81460000.0,30.0,22.0,3.0,1470950496.0,0.0,0.0,6,35,0,7,749,2,218,100,0,73,12,62,3,59008,11,3,4,3327,6,0,358,1,0
11388,5.513331212846933e+18,556610000.0,30.0,23.0,9.0,1470956892.0,0.0,0.0,6,35,0,7,579,2,218,75,0,280,12,62,3,59008,11,3,4,3327,6,246,447,1,0
