fullVisitorId,visitNumber,totals.pageviews,totals.transactionRevenue,totals.hits
0110888394822957190,3.0,22.0,18990000.0,28.0
0111084999408344922,1.0,41.0,27950000.0,54.0
0111261597665013586,3.0,78.0,18330000.0,84.0
0111624627546859050,66.0,75.0,110980000.0,88.0
011223364686614335,1.0,22.0,38970000.0,29.0
0112712853580593351,5.0,19.0,21270000.0,26.0
0113842242927238752,21.0,115.0,172720000.0,163.0
0114215561909122661,3.0,29.0,509700000.0,31.0
0114308184877865561,3.0,13.0,13980000.0,13.0
0114365990396544051,3.0,37.0,127980000.0,45.0
0114893528564579143,45.0,54.0,26980000.0,61.0
0115940065332308119,6.0,20.0,109150000.0,22.0
0116189328741483178,5.0,61.0,59990000.0,86.0
0117006987850476291,1.0,27.0,3980000.0,32.0
0117526410729664708,1.0,24.0,16990000.0,28.0
0120815826861008901,1.0,22.0,15190000.0,24.0
0121856061140944855,6.0,41.0,40480000.0,50.0
0123061672608906745,1.0,16.0,21990000.0,17.0
0123242859437730802,3.0,85.0,339500000.0,118.0
0123644124068077489,6.0,23.0,37980000.0,24.0
0123916055895596958,3.0,84.0,74430000.0,113.0
0124850203340830679,45.0,128.0,324240000.0,161.0
012559495913113852,1.0,12.0,18990000.0,14.0
0126511061239826414,3.0,37.0,349110000.0,47.0
0126612099954375841,21.0,59.0,1000780000.0,77.0
0127755228974756313,1.0,14.0,100770000.0,15.0
0128432477990891906,1.0,12.0,263700000.0,15.0
0128830210468179660,10.0,74.0,83150000.0,92.0
0129621051269020257,1.0,16.0,19190000.0,18.0
0131875932724045086,28.0,26.0,62370000.0,34.0
0133153998054254261,1.0,20.0,15990000.0,27.0
0134543573456503980,596.0,433.0,246190000.0,618.0
0134706903159877912,3.0,35.0,184580000.0,44.0
0134817585377058947,15.0,67.0,278030000.0,79.0
0135432212707864703,6.0,16.0,35980000.0,20.0
0136876972401975041,10.0,50.0,40000.0,57.0
0138119430456484693,21.0,57.0,16280000.0,79.0
0139256351437404200,3.0,30.0,91970000.0,44.0
013937734216012052,10.0,74.0,137270000.0,99.0
0139838509739212862,21.0,119.0,63950000.0,162.0
0140251351786321746,3.0,18.0,18990000.0,21.0
0141333337786935920,1.0,17.0,74950000.0,19.0
0142116411233847758,1.0,24.0,68530000.0,29.0
0143782636543876435,9.0,42.0,75980000.0,50.0
0143946332685671919,1.0,46.0,16990000.0,54.0
0147601968852145702,6.0,46.0,731380000.0,61.0
0148919186298580226,1.0,14.0,6990000.0,14.0
0150031486512354806,1.0,30.0,442750000.0,35.0
0150038807203175716,10.0,32.0,41720000.0,43.0
0151961311923926411,1.0,9.0,115110000.0,12.0
0152778576197288117,1.0,17.0,39990000.0,24.0
0154216796177071016,3.0,62.0,297170000.0,88.0
0155890066027533778,3.0,42.0,66910000.0,52.0
0156015502078053139,1.0,12.0,4380000.0,14.0
0156140817362296281,3.0,25.0,10990000.0,30.0
0157339933798750931,28.0,49.0,44790000.0,56.0
0157592049434831040,1.0,36.0,377650000.0,45.0
0158994139683228392,3.0,28.0,455550000.0,38.0
0159084910202112487,3.0,15.0,14370000.0,21.0
0159273579432738537,28.0,54.0,8670000.0,65.0
0161009524292009252,28.0,33.0,55990000.0,38.0
0162341046495604782,1.0,27.0,137330000.0,35.0
0163532416839889055,28.0,90.0,59190000.0,123.0
0164339786303841762,6.0,70.0,199130000.0,81.0
0165267667365212716,3.0,19.0,47940000.0,19.0
0165989831014724733,36.0,148.0,121980000.0,191.0
016600374334482677,6.0,94.0,31160000.0,129.0
0166887489328887096,3.0,28.0,56970000.0,36.0
0167578525300211228,1.0,31.0,19190000.0,36.0
0169854884741652554,10.0,44.0,218890000.0,61.0
0170103428948217931,3.0,48.0,21100000.0,76.0
0170546418513334382,3.0,60.0,16380000.0,81.0
0170783936986517711,1.0,31.0,26580000.0,39.0
0170940722150121590,3.0,22.0,43980000.0,30.0
0171495933986068782,1.0,44.0,35970000.0,55.0
0172081148860791358,3.0,20.0,25820000.0,28.0
0173142935390182524,9.0,44.0,62030000.0,61.0
0175318834283875506,28.0,139.0,528600000.0,175.0
0175518117099857981,6.0,50.0,155960000.0,63.0
0175697895967494517,1.0,13.0,10970000.0,15.0
0177276045605547096,3.0,53.0,45980000.0,57.0
0177654337280434386,1.0,49.0,23980000.0,59.0
0178222732694337574,1.0,54.0,12990000.0,65.0
0178425107324127018,1.0,25.0,43530000.0,28.0
0179691971144176992,3.0,33.0,18150000.0,40.0
0180142943692926101,3.0,44.0,195350000.0,51.0
0180651560743135704,1.0,39.0,25490000.0,51.0
0180933733703571150,3.0,35.0,90360000.0,48.0
0182664823417063218,28.0,106.0,219280000.0,132.0
0183218035021860438,15.0,61.0,156770000.0,81.0
0184057760170077857,117.0,123.0,71890000.0,159.0
0185467632009737931,21.0,50.0,26250000.0,59.0
0188247823522588210,3.0,28.0,30980000.0,32.0
0188308435688462855,28.0,154.0,30790000.0,200.0
0188481372919586914,72.0,63.0,107040000.0,78.0
0190642816438085656,36.0,75.0,371050000.0,91.0
0191382203292370318,1.0,18.0,16990000.0,18.0
0191633990580866366,9.0,43.0,71970000.0,64.0
0193041826287662991,9.0,46.0,2860000.0,51.0
0193361951439999580,1.0,9.0,18990000.0,9.0
0194729737445123123,1.0,13.0,13290000.0,14.0
0195229052670476258,1.0,14.0,16990000.0,16.0
0196352031623164153,1.0,11.0,17590000.0,13.0
0197277329550470329,15.0,85.0,1095840000.0,107.0
0197640110870848557,3.0,20.0,109370000.0,23.0
019772767330770548,3.0,51.0,11460000.0,67.0
0199007580877867026,10.0,20.0,12990000.0,20.0
0199117534740864877,3.0,33.0,223600000.0,71.0
0199390506505564850,36.0,69.0,803100000.0,88.0
0199756139590139879,45.0,184.0,599100000.0,230.0
0199826286790923643,3.0,21.0,31420000.0,29.0
0200288716023252495,1.0,30.0,498560000.0,41.0
0200510094584379080,3.0,47.0,34350000.0,67.0
0200858359127299953,6.0,46.0,79190000.0,49.0
020153652546549774,18.0,77.0,61220000.0,103.0
0204360574486607491,17.0,73.0,34330000.0,92.0
0205723721674321991,10.0,43.0,33590000.0,47.0
0207758697026045863,3.0,41.0,67240000.0,53.0
0208951486693076734,31.0,54.0,32780000.0,63.0
0209588266013545629,3.0,42.0,59990000.0,60.0
0210005071508705826,1.0,16.0,79980000.0,16.0
0210797287974741332,3.0,30.0,35970000.0,32.0
0211027870956680579,1.0,12.0,41990000.0,13.0
0211475535612871703,6.0,102.0,93420000.0,128.0
0211945437070044601,6.0,64.0,63980000.0,93.0
0211986650009953276,5.0,33.0,599950000.0,73.0
0213071560453106423,1.0,6.0,27180000.0,6.0
0213278104301515841,155.0,91.0,27420000.0,118.0
0213313042176849782,6.0,62.0,67220000.0,73.0
0214776722271775969,36.0,86.0,835280000.0,103.0
0216379390200329933,21.0,46.0,124770000.0,56.0
021724590578150399,1.0,21.0,33990000.0,27.0
0218721670797647024,13.0,99.0,174830000.0,134.0
0220293028121038519,3.0,48.0,22980000.0,62.0
0220695720492664721,136.0,177.0,2224520000.0,242.0
0220916715926164647,10.0,35.0,7970000.0,41.0
0220950878922124751,1.0,35.0,46910000.0,60.0
0223326003832256461,10.0,74.0,17490000.0,90.0
0223683667601132018,36.0,55.0,43970000.0,70.0
0225374027452882593,1.0,28.0,30380000.0,36.0
0225621684999318305,10.0,35.0,13590000.0,42.0
0225991706421654357,6.0,13.0,39190000.0,16.0
0226612145817715297,45.0,49.0,26970000.0,52.0
0227223667732638007,10.0,43.0,11200000.0,53.0
0230412258531789338,1.0,35.0,48770000.0,40.0
0231481887069911183,1.0,17.0,44790000.0,19.0
0231643641360400675,36.0,105.0,194130000.0,149.0
0232377434237234751,11047.0,851.0,17980000.0,1067.0
0235385155808315096,1.0,28.0,40970000.0,32.0
0236160742740831906,1.0,83.0,18640000.0,120.0
0237463554769485825,1.0,19.0,18950000.0,30.0
0237572851648543104,1.0,24.0,67200000.0,32.0
0237719183402042239,6.0,42.0,119000000.0,51.0
0238046754537073811,21.0,78.0,19190000.0,95.0
0238421727680250617,266.0,68.0,15980000.0,84.0
0238771388615303644,66.0,80.0,116970000.0,93.0
0239563913417476259,36.0,40.0,24990000.0,56.0
0239598330790272854,6.0,42.0,79990000.0,51.0
0240177559062852098,6.0,93.0,66720000.0,116.0
0240776453322054523,15.0,48.0,11980000.0,61.0
024164219255036061,21.0,116.0,30440000.0,150.0
0242463556251231215,10.0,104.0,24620000.0,133.0
0243955375764569680,3.0,33.0,163150000.0,41.0
0244170299994763393,15.0,56.0,30280000.0,70.0
0244256673220806549,6.0,72.0,86370000.0,95.0
0244766556983704128,3.0,79.0,57960000.0,106.0
024507252193437459,6.0,52.0,11960000.0,63.0
0246574639180766080,6.0,37.0,50370000.0,39.0
0248816373515809143,3.0,69.0,75110000.0,101.0
0249200089780217479,1.0,26.0,38470000.0,33.0
0249659095832018179,1.0,16.0,159500000.0,20.0
0250826361874221555,1.0,11.0,27190000.0,12.0
0254089780577334336,3.0,17.0,87960000.0,17.0
0255313102890306362,1.0,31.0,18990000.0,37.0
0259650808338553210,15.0,36.0,65480000.0,56.0
026286046518884836,6.0,38.0,16680000.0,48.0
026401348536755877,45.0,111.0,85560000.0,133.0
0264336289575017383,1.0,23.0,55970000.0,30.0
0264439262506145643,18.0,30.0,35980000.0,34.0
0267986414856681204,6.0,69.0,86350000.0,82.0
02709834583138581,3.0,16.0,1990000.0,16.0
0271850397437998021,15.0,36.0,16990000.0,43.0
0272605252764469232,1.0,14.0,39990000.0,16.0
0273584168531981189,1.0,11.0,33590000.0,12.0
0276648651758070096,319.0,207.0,69600000.0,261.0
0277222292888807077,1.0,33.0,50970000.0,41.0
0280589015308186459,6.0,60.0,62880000.0,87.0
0281396010416698886,10.0,21.0,16990000.0,24.0
0281795238965680893,60.0,154.0,218250000.0,228.0
0281952976428623195,45.0,70.0,107930000.0,91.0
0284098486783069978,1.0,28.0,18990000.0,35.0
0290333981372798422,3.0,22.0,29420000.0,27.0
0290663072707523580,91.0,190.0,468650000.0,238.0
0291002892578472269,3.0,52.0,2771110000.0,84.0
0291161766415927075,1.0,37.0,63450000.0,51.0
029131400687020410,10.0,55.0,889950000.0,73.0
0294093638755103061,6.0,29.0,49340000.0,38.0
029534875378731789,3.0,93.0,1285000000.0,144.0
029617802319560280,1.0,40.0,63840000.0,54.0
0297816563358688328,1.0,37.0,15190000.0,47.0
0297836806162838021,78.0,208.0,48930000.0,274.0
0299113451946744821,3.0,17.0,40480000.0,23.0
0300387133164635049,1.0,53.0,181730000.0,76.0
0301639941678052859,1.0,19.0,44790000.0,21.0
0301972032250850193,1.0,32.0,15990000.0,40.0
0303985457220103186,3.0,17.0,10990000.0,20.0
0304674693006681857,28.0,62.0,37560000.0,81.0
0305113785839637634,9.0,89.0,43610000.0,122.0
0306177142313155903,1.0,22.0,29980000.0,29.0
0308396243566145332,1.0,48.0,43960000.0,60.0
0309385525240537775,19.0,50.0,55170000.0,65.0
0312226371899637611,28.0,50.0,55990000.0,63.0
0312555661484077014,51.0,75.0,25510000.0,109.0
0313128019616030998,1.0,21.0,39970000.0,26.0
0314528826654841027,15.0,74.0,119000000.0,95.0
0314533611538644167,3.0,57.0,28780000.0,73.0
0314733033105141755,1.0,21.0,43710000.0,28.0
0315387128062353822,1.0,15.0,45570000.0,19.0
031607904142435840,10.0,50.0,19190000.0,56.0
0316080058721038988,6.0,22.0,119990000.0,24.0
0316167355630094350,1.0,18.0,134360000.0,18.0
0317661710948460673,1.0,32.0,41590000.0,34.0
0318476411656972479,1.0,22.0,29190000.0,28.0
0319620292000180209,1.0,48.0,19980000.0,55.0
0321747208131220508,1.0,16.0,303700000.0,20.0
0324564641241038377,78.0,186.0,77850000.0,260.0
0326671467950015369,20.0,54.0,55430000.0,66.0
032685444859747984,6.0,51.0,469870000.0,65.0
0327221397987539071,6.0,34.0,16990000.0,37.0
0328080880890336475,15.0,46.0,108780000.0,54.0
0333033833560922860,7.0,27.0,181960000.0,31.0
0334916383849466701,10.0,46.0,41590000.0,56.0
0336686212624145715,3.0,54.0,101470000.0,63.0
0339607919256111349,6.0,28.0,742080000.0,30.0
0339985125689048804,9.0,24.0,52870000.0,29.0
0342282266188517272,3.0,100.0,270040000.0,142.0
0343104487250705794,45.0,95.0,504860000.0,114.0
0343219748684366958,1.0,35.0,100050000.0,39.0
0344842538233543056,3.0,45.0,16990000.0,50.0
0344902595596940552,1.0,48.0,16990000.0,57.0
0345672699449577691,9.0,11.0,27590000.0,11.0
0347078791302547544,6.0,22.0,18990000.0,26.0
0347426080243057728,10.0,68.0,49170000.0,78.0
0347855419861857256,3.0,29.0,45340000.0,41.0
0348641465070077039,6.0,30.0,457400000.0,35.0
0348759248625736228,406.0,147.0,165530000.0,162.0
0348842070964414318,14.0,37.0,67190000.0,43.0
0349098195293316395,1.0,11.0,67190000.0,13.0
0349598333236458498,3.0,22.0,37980000.0,23.0
034988778973749269,30.0,64.0,31980000.0,66.0
0352372860744696733,6.0,32.0,51870000.0,39.0
0352394936298937026,24.0,57.0,18980000.0,64.0
0353184725767379430,1.0,19.0,28370000.0,23.0
0354787200849804630,3.0,30.0,112770000.0,38.0
0354852234744200549,3.0,58.0,28780000.0,71.0
0355692456617973868,15.0,40.0,137540000.0,45.0
0356092515832769251,3.0,37.0,103940000.0,58.0
035660671109530802,3.0,30.0,132740000.0,42.0
0357440337109667396,36.0,73.0,42000000.0,158.0
0358654455062914123,9.0,76.0,25960000.0,108.0
0359164954247345378,66.0,100.0,107570000.0,129.0
036131108463384213,1.0,18.0,22790000.0,23.0
0361534245405505016,326.0,138.0,139650000.0,171.0
036266427154622625,1.0,23.0,28980000.0,28.0
0363134569444706133,45.0,77.0,59940000.0,87.0
0363878417378060116,3.0,13.0,11990000.0,16.0
0364393857133608210,3.0,58.0,167700000.0,72.0
0365800323147392278,66.0,133.0,73080000.0,163.0
0366796863244619267,3.0,20.0,28680000.0,25.0
0366995018749053135,6.0,48.0,92410000.0,63.0
036703532725992752,14.0,36.0,30390000.0,47.0
0367699875055542808,7.0,17.0,54610000.0,18.0
0370316422769734568,3.0,18.0,119800000.0,22.0
0370457166717871813,6.0,23.0,19190000.0,25.0
0370653840812117479,1.0,14.0,41990000.0,15.0
0371602582972882095,3.0,41.0,87420000.0,96.0
03717831825503026,3.0,30.0,13290000.0,31.0
037220895437756047,21.0,37.0,42520000.0,39.0
0372741889888882659,1.0,30.0,67170000.0,36.0
0375424311834211727,1.0,16.0,20990000.0,17.0
0375962687766031488,27.0,52.0,23490000.0,64.0
0376116041887932016,6.0,83.0,22770000.0,133.0
0376394056092189113,55.0,167.0,128040000.0,268.0
0377374830135310453,3.0,20.0,24990000.0,22.0
0377506370870345639,28.0,86.0,44000000.0,104.0
0379910820910540808,1.0,29.0,27490000.0,42.0
0380297679354627080,3.0,23.0,30390000.0,31.0
0382608034711593401,3.0,19.0,19190000.0,20.0
0383714650593435379,1.0,27.0,18950000.0,31.0
0385604754912299240,10.0,27.0,16990000.0,40.0
0385969934087457197,10.0,55.0,111900000.0,76.0
0388208942401904035,1.0,30.0,27160000.0,36.0
0388540104773034683,3.0,27.0,1250850000.0,33.0
0389136722695149263,1.0,26.0,101940000.0,31.0
0389488682405584834,3.0,28.0,5030000.0,29.0
0389986037860676472,6.0,96.0,684810000.0,158.0
0390998170566117826,1.0,17.0,19990000.0,17.0
039355803762628039,3.0,34.0,25580000.0,41.0
039400440658825933,10.0,63.0,74440000.0,81.0
0394645209696766041,6.0,35.0,27980000.0,50.0
0394685600472849886,1.0,13.0,13590000.0,13.0
0394724420324392696,3.0,31.0,13990000.0,62.0
0395012696484203225,21.0,73.0,207960000.0,81.0
0395050647250429598,3.0,54.0,45660000.0,70.0
0396381842924367514,1.0,26.0,18990000.0,26.0
0396718069117936487,4.0,49.0,23940000.0,69.0
0397053123672758925,26.0,45.0,41490000.0,47.0
0401157104421670800,15.0,38.0,16990000.0,44.0
0402324876089509346,6.0,27.0,31980000.0,33.0
0403029217967321711,10.0,24.0,45720000.0,30.0
0403377724115575972,1.0,15.0,10990000.0,18.0
0403854633867059264,1.0,29.0,101230000.0,43.0
0405484788554421584,1.0,15.0,10630000.0,15.0
0405613301455395523,47.0,97.0,206450000.0,111.0
0405996727678488611,2.0,52.0,21590000.0,67.0
0406062413536161782,3.0,24.0,335700000.0,27.0
0406190417919854320,2.0,35.0,26290000.0,45.0
0409393961827380777,1.0,16.0,6990000.0,16.0
0409659276768997113,6.0,41.0,135920000.0,47.0
0412089515434398683,86.0,160.0,87990000.0,203.0
0413580391899416331,3.0,26.0,27190000.0,32.0
0415088391126514183,1.0,39.0,50380000.0,48.0
0415394625340972240,1.0,35.0,49800000.0,39.0
0415608676546432559,1.0,37.0,118980000.0,46.0
0417281456122837207,1.0,11.0,83990000.0,12.0
0418715380582536680,36.0,23.0,12990000.0,24.0
0419611240165258862,15.0,95.0,31950000.0,116.0
0420713714276209262,66.0,66.0,19190000.0,68.0
042122995088591617,1.0,30.0,86920000.0,38.0
042147785799333528,2.0,34.0,151090000.0,57.0
0421965906840211099,5.0,14.0,100000000.0,19.0
0422682096572302497,1.0,22.0,50380000.0,29.0
0423307133606435481,1.0,11.0,30390000.0,16.0
0425873917948400044,1.0,22.0,27980000.0,28.0
0426743790293007914,1.0,19.0,93780000.0,21.0
042744959300558986,21.0,68.0,28780000.0,83.0
0429502726115959763,3.0,25.0,145990000.0,26.0
0430094899859964214,1.0,16.0,89580000.0,21.0
0430335774937069840,3.0,71.0,31730000.0,104.0
0431394148721181795,1.0,19.0,36980000.0,22.0
0431557134723843230,3.0,78.0,59980000.0,116.0
0432606793105704004,1.0,47.0,701800000.0,60.0
0433158162838188739,15.0,66.0,205910000.0,96.0
0433977539031077073,13.0,30.0,1590000.0,30.0
0435284079726114731,4.0,59.0,26380000.0,75.0
043584487743669327,10.0,63.0,150000000.0,94.0
0436141361480108416,21.0,54.0,81580000.0,67.0
0436308854548495165,1.0,28.0,10990000.0,38.0
0437273981466271229,10.0,77.0,37780000.0,99.0
0438166916528767491,1.0,11.0,71900000.0,12.0
0439226753637545757,36.0,67.0,179660000.0,90.0
0440818788755263058,3.0,21.0,45000000.0,21.0
0441066271285731501,3.0,51.0,394060000.0,68.0
0442021180879108839,10.0,50.0,277100000.0,66.0
044206379216818403,1.0,41.0,41990000.0,49.0
0445007965605847225,20.0,34.0,19190000.0,40.0
0445631247863989355,1.0,21.0,36770000.0,30.0
0446307598015350028,6.0,25.0,21980000.0,32.0
0446530628716956924,6.0,52.0,44790000.0,60.0
0448734640649218784,1.0,13.0,6170000.0,15.0
0450212169679268027,28.0,27.0,33980000.0,30.0
0453417896500580053,10.0,32.0,59960000.0,40.0
0456585804826434876,3.0,15.0,16990000.0,18.0
0456807427403774085,91.0,170.0,151980000.0,253.0
0456995923783583208,10.0,34.0,20930000.0,36.0
0457069299190177448,1.0,11.0,41990000.0,12.0
0457728965473786479,1.0,26.0,27500000.0,29.0
0459959187480356493,3.0,20.0,31970000.0,22.0
0460590127025597143,6.0,63.0,36000000.0,72.0
0460646718150298450,6.0,32.0,126940000.0,40.0
0461226362137454102,1.0,26.0,58350000.0,33.0
0463325773564352787,10.0,57.0,235960000.0,71.0
04638983005167591,36.0,47.0,59960000.0,51.0
0464008745098440718,43.0,48.0,59990000.0,53.0
0464364196228560484,1.0,27.0,66370000.0,34.0
0466834914358216815,1.0,20.0,8990000.0,25.0
047096740790346861,11.0,70.0,1679720000.0,90.0
0471753134403424239,6.0,29.0,15190000.0,30.0
0473815800118504130,1.0,16.0,33590000.0,17.0
0474194738383570173,6.0,33.0,19990000.0,39.0
047507722101025881,1.0,20.0,58990000.0,24.0
048002411086393228,2.0,21.0,21310000.0,28.0
0481361866832333678,6.0,92.0,101110000.0,122.0
0481562034862119313,8.0,25.0,13590000.0,31.0
0482588777140962763,6.0,34.0,47000000.0,37.0
0483111126014707673,37.0,57.0,32760000.0,72.0
04868452367846670,28.0,69.0,132580000.0,88.0
0487480427659606163,6.0,27.0,33590000.0,29.0
0488047684682615330,15.0,58.0,7970000.0,70.0
0488236137527169951,45.0,298.0,240780000.0,409.0
0491316713136054865,5.0,13.0,33590000.0,14.0
0492938094127153086,10.0,62.0,79990000.0,89.0
0496156536586018580,6.0,43.0,40800000.0,57.0
049618887282998852,1.0,34.0,36980000.0,45.0
0496833883845920731,10.0,33.0,44790000.0,44.0
0498810256715966268,1.0,28.0,191680000.0,46.0
0499173638332659780,15.0,79.0,157150000.0,102.0
0500460722094613747,21.0,50.0,48000000.0,57.0
0502079743101647640,1.0,24.0,46370000.0,26.0
0507664246019057034,6.0,23.0,24990000.0,29.0
0508002860985321055,3.0,11.0,136920000.0,12.0
0509428697410335222,78.0,103.0,86490000.0,122.0
0509537543362594682,2.0,51.0,40180000.0,62.0
0509637927726464785,15.0,84.0,102330000.0,194.0
0509972280802528263,10.0,54.0,35290000.0,60.0
0510399340773152452,1.0,19.0,16990000.0,19.0
0511506099436408879,6.0,44.0,15960000.0,54.0
0511729257667195605,10.0,87.0,368900000.0,124.0
051204193313789401,1.0,23.0,33560000.0,31.0
051257374560700342,68.0,148.0,245540000.0,214.0
051312971389642254,1.0,21.0,118630000.0,24.0
0514071303908585314,3.0,10.0,8980000.0,10.0
0514253309422836642,1.0,10.0,19990000.0,11.0
051516119104547275,1.0,14.0,27190000.0,16.0
0515583444261228947,1.0,28.0,26660000.0,32.0
0517434536441380071,5.0,16.0,23490000.0,18.0
0517782955209773732,2.0,18.0,24220000.0,22.0
0518455108809968270,15.0,49.0,27180000.0,53.0
0518977830588706496,6.0,28.0,19190000.0,32.0
0520662463655484321,6.0,42.0,476820000.0,50.0
0520805520579177810,1.0,14.0,105480000.0,17.0
0521283007599569568,10.0,66.0,26090000.0,72.0
0529281851523725509,1.0,83.0,17590000.0,112.0
0531829155524217247,6.0,40.0,51850000.0,54.0
0532638128006986594,1.0,37.0,25960000.0,45.0
0533361455920078502,1.0,21.0,38950000.0,27.0
0533462479025888957,21.0,53.0,51810000.0,66.0
